name,color,region,link,party,marker,factor_1,factor_2
Tina Lund Sørensen,#254264,Østjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/575-tina-lund-soerensen,"Venstre, Danmarks Liberale Parti",V,-2.228087434291943,-0.9623556293202559
Tina Mortensen,#a82721,Vestjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/819-tina-magaard-mortensen,Socialdemokratiet,A,0.8886351095451501,1.9558878265142898
Tina Mørk,#8b8474,Københavns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/951-tina-moerk,Kristendemokraterne,K,1.8010665327420559,-1.2138790438395615
Tine Hessner,#733280,Nordsjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/268-tine-hessner,Radikale Venstre,B,1.7538373159658651,-2.3407401790646114
Tobias Bennedsen,#96b226,Fyns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/118-tobias-bennedsen,Det Konservative Folkeparti,C,-4.405997244296099,-0.35873407092859527
Tobias Clausen,#e6801a,Københavns Omegns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/291-tobias-clausen,Enhedslisten – De Rød-Grønne,Ø,3.239295170285874,2.2269312629744147
Tobias Grotkjær Elmstrøm,#b48cd2,Østjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/621-tobias-grotkjaer-elmstroem,Moderaterne,M,-0.04705126168807729,-1.8299789161911297
Tobias Jørgensen,#254264,Sydjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/555-tobias-joergensen,"Venstre, Danmarks Liberale Parti",V,-1.8289304924282819,0.6098562004607083
Tobias Pagh,#3fb2be,Sydjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/307-tobias-pagh,Liberal Alliance,I,-4.576263188254884,-2.096730204191417
Tom Andkjær,#127b7f,Sydjyllands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/175-tom-andkjaer,Nye Borgerlige,D,-4.841193083601029,0.920790587572166
Tom Gillesberg,#000000,Københavns Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/1027-tom-gillesberg,Uden for partierne,X,0.6037300806984309,-0.47143330045540327
Tonny Pedersen,#127b7f,Sjællands Storkreds,https://www.altinget.dk/kandidattest/FT22/profil/168-tonny-pedersen,Nye Borgerlige,D,-4.31031871296725,1.8734104289156246
